,날짜,EC급액,EC배액,pH급액,pH배액,내부이산화탄소,평균온도,J/Day
0,2021-10-21 10:00:00,4.543442222222222,3.288178333333333,5.796055555555555,6.264777777777778,668.0,28.40222222222222,1579.0
1,2021-10-21 11:00:00,4.66488923076923,3.9662215384615385,5.8770439560439565,6.1288901098901105,566.2527472527472,29.13923076923077,1579.0
2,2021-10-21 12:00:00,6.469644133333333,6.323824,5.765986666666667,5.976866666666666,457.3333333333333,29.628,1579.0
3,2021-10-21 13:00:00,6.193139599999999,6.5399268,5.75054,5.96614,417.26,31.566999999999997,1579.0
4,2021-10-21 14:00:00,6.168096285714286,6.361244571428571,5.7556,5.962971428571429,345.74285714285713,32.05614285714285,1579.0
5,2021-10-21 15:00:00,6.5083339473684205,5.893299561403508,5.765280701754386,6.023508771929824,286.5964912280702,29.981754385964912,1579.0
6,2021-10-21 16:00:00,6.441679206349206,5.262569047619047,5.787238095238095,6.071190476190476,270.46031746031747,25.21095238095238,1579.0
7,2021-10-21 17:00:00,6.260233188405797,4.848814637681159,5.81568115942029,6.101826086956522,295.6811594202899,20.411014492753623,1579.0
8,2021-10-21 18:00:00,6.11648752,4.56364736,5.836424,6.1342479999999995,321.008,19.39432,1579.0
9,2021-10-21 19:00:00,6.03311220338983,4.365155762711865,5.838745762711865,6.151186440677966,353.3220338983051,19.337118644067797,1579.0
10,2021-10-21 20:00:00,5.957794262295082,4.008069836065574,5.851901639344263,6.172508196721312,386.73770491803276,18.45377049180328,1579.0
11,2021-10-21 21:00:00,5.915742521008403,2.2789651260504202,5.876126050420168,6.191109243697479,407.5378151260504,18.43252100840336,1579.0
12,2021-10-21 22:00:00,5.895329120879121,0.10200538461538461,5.8857912087912085,6.183868131868132,423.02197802197804,18.26978021978022,1579.0
13,2021-10-21 23:00:00,5.892395454545454,0.052030454545454546,5.8919772727272735,6.204159090909091,446.0,18.172954545454544,1574.7333333333333
